frug;plant;n_visits;obs_time;visit_rate;n_fruits;fruit_visit;QTY;frug_family;body_mass;gape_size;plant_family;FRDIAM;FRLENG;FRFM;PFM;SFM;PDM;SDM;SEEDS;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC;TOTALC;TOTALSUG
Thraupis sayaca;Casearia sylvestris;9;22;0.409;17;1.89;0.773;Thraupidae;32.5;8.9;Salicaceae;5;4.5;NA;NA;0.003;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Casearia sylvestris;9;22;0.409;17;1;0.409;Thraupidae;32.5;8.9;Salicaceae;5;4.5;NA;NA;0.003;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Cecropia glaziovii;4;NA;NA;NA;1;NA;Cracidae;1250;19.1;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Aburria jacutinga;Cecropia glaziovii;2;48.2;0.042;1;1;0.042;Cracidae;1250;19.1;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Aburria jacutinga;Cecropia glaziovii;1;140;0.007;NA;1;0.007;Cracidae;1250;19.1;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Aburria jacutinga;Cecropia glaziovii;2;750;0.003;NA;1;0.003;Cracidae;1250;19.1;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Euphonia violacea;Cecropia glaziovii;1;48.2;0.021;2;0.09;0.002;Fringillidae;15;6.9;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Euphonia violacea;Cecropia glaziovii;1;140;0.007;NA;0.05;0;Fringillidae;15;6.9;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Ramphastos dicolorus;Cecropia glaziovii;6;48.2;0.125;10;0.35;0.044;Ramphastidae;331;30.7;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Ramphastos dicolorus;Cecropia glaziovii;1;750;0.001;NA;0.35;0;Ramphastidae;331;30.7;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Selenidera maculirostris;Cecropia glaziovii;3;48.2;0.062;23;1.27;0.079;Ramphastidae;164;25;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Selenidera maculirostris;Cecropia glaziovii;5;750;0.007;NA;1.27;0.008;Ramphastidae;164;25;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Selenidera maculirostris;Cecropia glaziovii;1;140;0.007;NA;0.17;0.001;Ramphastidae;164;25;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Tangara seledon;Cecropia glaziovii;10;140;0.071;NA;0.04;0.003;Thraupidae;18.7;6.1;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Thraupis palmarum;Cecropia glaziovii;18;48.2;0.374;69;0.28;0.105;Thraupidae;39;8.3;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Thraupis palmarum;Cecropia glaziovii;29;140;0.207;NA;0.06;0.012;Thraupidae;39;8.3;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Thraupis sayaca;Cecropia glaziovii;6;5.5;1.091;NA;0.48;0.524;Thraupidae;32.5;8.9;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Thraupis sayaca;Cecropia glaziovii;1;250;0.004;NA;0.48;0.002;Thraupidae;32.5;8.9;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Tityra cayana;Cecropia glaziovii;1;48.2;0.021;NA;0.34;0.007;Cotingidae;68.1;16.6;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Tityra cayana;Cecropia glaziovii;1;140;0.007;NA;0.34;0.002;Cotingidae;68.1;16.6;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Tityra cayana;Cecropia glaziovii;1;750;0.001;NA;0.34;0;Cotingidae;68.1;16.6;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
Trogon surrucura;Cecropia glaziovii;1;140;0.007;NA;0.12;0.001;Trogonidae;73.3;17.5;Urticaceae;11.2;147.6;14.87;NA;0.001;9.737;NA;2964;NA;0.037;0.121;0.008;0.077;NA;NA;0.084
