frug;plant;n_visits;obs_time;visit_rate;n_fruits;fruit_visit;QTY;frug_family;body_mass;gape_size;plant_family;FRDIAM;FRLENG;FRFM;PFM;SFM;PDM;SDM;SEEDS;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC;TOTALC;TOTALSUG
Turdus rufiventris;Euterpe edulis;3;330;0.009;NA;2;0.018;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;2;324;0.006;4;2;0.012;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;3;190;0.016;2;0.67;0.011;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;2;324;0.006;3;1.5;0.009;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;2;750;0.003;NA;1.6;0.004;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Thraupis sayaca;Euterpe oleracea;1;8;0.125;NA;NA;NA;Thraupidae;32.5;8.9;Arecaceae;12.3;12.4;NA;NA;NA;NA;NA;1;NA;0.408;0.081;NA;NA;NA;0.425;NA
Turdus rufiventris;Euterpe oleracea;17;8;2.125;NA;1.6;3.402;Turdidae;69.5;13.3;Arecaceae;12.3;12.4;NA;NA;NA;NA;NA;1;NA;0.408;0.081;NA;NA;NA;0.425;NA
Thraupis palmarum;Ficus benjamina;5;8.6;0.585;6;2;1.17;Thraupidae;39;8.3;Moraceae;7.6;8.9;0.845;NA;NA;0.082;0.076;NA;0.8;0.045;0.064;NA;NA;0.799;NA;NA
Thraupis sayaca;Ficus benjamina;38;8.6;4.444;59;1.9;8.459;Thraupidae;32.5;8.9;Moraceae;7.6;8.9;0.845;NA;NA;0.082;0.076;NA;0.8;0.045;0.064;NA;NA;0.799;NA;NA
Aburria jacutinga;Ficus enormis;2;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Moraceae;14;14;1.3;NA;NA;NA;NA;50;0.8;0.054;0.035;NA;NA;NA;0.796;NA
Euphonia violacea;Ficus hirsuta;149;18.1;8.232;NA;NA;NA;Fringillidae;15;6.9;Moraceae;8.2;9.1;0.26;NA;0.001;NA;NA;41.7;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Ficus insipida;3;2;1.5;NA;10;15;Thraupidae;32.5;8.9;Moraceae;24.31;24.74;9.735;10.237;0.089;2.288;0.194;148.9;0.86;0.045;0.054;0.002;0.092;0.908;0.808;0.094
Euphonia chlorotica;Ficus microcarpa;7;30;0.233;NA;NA;NA;Fringillidae;11;6.1;Moraceae;8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Ficus microcarpa;61;30;2.033;NA;1;2.033;Thraupidae;18;7.4;Moraceae;8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Ficus microcarpa;4;4.5;0.889;NA;1;0.889;Thraupidae;18;7.4;Moraceae;8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Ficus microcarpa;126;30;4.2;NA;1;4.2;Thraupidae;32.5;8.9;Moraceae;8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Ficus microcarpa;12;4.5;2.667;NA;1;2.667;Thraupidae;32.5;8.9;Moraceae;8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Ficus microcarpa;11;4.5;2.444;NA;5;12.222;Turdidae;69.5;13.3;Moraceae;8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Frangula purshiana;21;23;0.913;37;1.76;1.609;Thraupidae;18;7.4;Rhamnaceae;11.6;NA;0.8;NA;NA;0.13;NA;3;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Frangula purshiana;42;23;1.826;104;3.5;6.391;Thraupidae;32.5;8.9;Rhamnaceae;11.6;NA;0.8;NA;NA;0.13;NA;3;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Frangula purshiana;42;23;1.826;104;2.48;4.522;Thraupidae;32.5;8.9;Rhamnaceae;11.6;NA;0.8;NA;NA;0.13;NA;3;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia violacea;Guapira opposita;2;15.9;0.126;NA;NA;NA;Fringillidae;15;6.9;Nyctaginaceae;6.75;8.35;0.193;0.16;0.044;0.061;0.032;1;0.76;0.025;0.189;0.03;0.093;NA;0.692;0.123
Tangara cyanocephala;Guapira opposita;11;25.2;0.437;NA;NA;NA;Thraupidae;18;5.2;Nyctaginaceae;6.75;8.35;0.193;0.16;0.044;0.061;0.032;1;0.76;0.025;0.189;0.03;0.093;NA;0.692;0.123
Thraupis sayaca;Guapira opposita;1;254;0.004;NA;NA;NA;Thraupidae;32.5;8.9;Nyctaginaceae;6.75;8.35;0.193;0.16;0.044;0.061;0.032;1;0.76;0.025;0.189;0.03;0.093;NA;0.692;0.123
Thraupis sayaca;Guapira opposita;10;15.9;0.629;NA;NA;NA;Thraupidae;32.5;8.9;Nyctaginaceae;6.75;8.35;0.193;0.16;0.044;0.061;0.032;1;0.76;0.025;0.189;0.03;0.093;NA;0.692;0.123
Turdus albicollis;Guapira opposita;16;25.2;0.635;NA;NA;NA;Turdidae;54;11.1;Nyctaginaceae;6.75;8.35;0.193;0.16;0.044;0.061;0.032;1;0.76;0.025;0.189;0.03;0.093;NA;0.692;0.123
Turdus albicollis;Guapira opposita;2;15.9;0.126;NA;NA;NA;Turdidae;54;11.1;Nyctaginaceae;6.75;8.35;0.193;0.16;0.044;0.061;0.032;1;0.76;0.025;0.189;0.03;0.093;NA;0.692;0.123
Turdus rufiventris;Guapira opposita;2;25.2;0.079;NA;NA;NA;Turdidae;69.5;13.3;Nyctaginaceae;6.75;8.35;0.193;0.16;0.044;0.061;0.032;1;0.76;0.025;0.189;0.03;0.093;NA;0.692;0.123
Turdus rufiventris;Guarea macrophylla;8;3;2.667;NA;NA;NA;Turdidae;69.5;13.3;Meliaceae;8.54;11.95;0.491;0.15;0.323;0.108;0.286;1;0.74;0.441;0.09;0.001;NA;NA;NA;0.001
Turdus albicollis;Guatteria sellowiana;9;32;0.281;27;3;0.844;Turdidae;54;11.1;Annonaceae;6;11.27;0.38;NA;NA;NA;NA;1;0.68;0.086;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Guatteria sellowiana;16;32;0.5;48;4;2;Turdidae;69.5;13.3;Annonaceae;6;11.27;0.38;NA;NA;NA;NA;1;0.68;0.086;NA;NA;NA;NA;NA;NA
Tangara cayana;Guettarda viburnoides;4;5;0.8;NA;NA ;NA;Thraupidae;18;7.4;Rubiaceae;9.8;8.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Guettarda viburnoides;7;5;1.4;NA;NA;NA;Thraupidae;32.5;8.9;Rubiaceae;9.8;8.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia violacea;Henriettea saldanhaei;2;15;0.267;NA;1;0.267;Fringillidae;15;6.9;Melastomataceae;11.9;13.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Hirtella ciliata;3;254;0.012;NA;NA;NA;Thraupidae;18;7.4;Chrysobalanaceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trogon surrucura;Ilex brevicuspis;2;72;0.028;2;1;0.028;Trogonidae;73.3;17.5;Aquifoliaceae;3.15;3.86;0.049;NA;0.005;0.029;0.02;4.1;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Ilex brevicuspis;2;72;0.028;3;1.5;0.042;Turdidae;54;11.1;Aquifoliaceae;3.15;3.86;0.049;NA;0.005;0.029;0.02;4.1;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Ilex brevicuspis;21;72;0.292;427;20.33;5.931;Turdidae;69.5;13.3;Aquifoliaceae;3.15;3.86;0.049;NA;0.005;0.029;0.02;4.1;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Ilex paraguariensis;77;60;1.283;389;5.94;7.623;Thraupidae;32.5;8.9;Aquifoliaceae;7.91;9.23;0.23;0.18;0.029;0.05;NA;3.7;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Ilex paraguariensis;64;60;1.067;622;8.63;9.205;Turdidae;69.5;13.3;Aquifoliaceae;7.91;9.23;0.23;0.18;0.029;0.05;NA;3.7;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia violacea;Lantana pohliana;1;30;0.033;NA;NA;NA;Fringillidae;15;6.9;Verbenaceae;5;4.4;0.071;NA;0.007;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Leandra carassana;2;60;0.033;4;2;0.067;Turdidae;54;11.1;Melastomataceae;6.81;7.05;0.188;NA;0.001;NA;NA;160.2;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Livistona chinensis;17;45;0.378;NA;NA;NA;Thraupidae;18;7.4;Arecaceae;14.1;20.15;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Livistona chinensis;13;45;0.289;NA;NA;NA;Thraupidae;39;8.3;Arecaceae;14.1;20.15;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Livistona chinensis;13;45;0.289;NA;NA;NA;Thraupidae;32.5;8.9;Arecaceae;14.1;20.15;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Livistona chinensis;83;45;1.844;NA;NA;NA;Turdidae;54;11.1;Arecaceae;14.1;20.15;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Livistona chinensis;24;45;0.533;NA;NA;NA;Turdidae;69.5;13.3;Arecaceae;14.1;20.15;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Magnolia ovata;18;43;0.419;36;2;0.837;Thraupidae;18;7.4;Magnoliaceae;10.39;12.8;0.522;NA;0.239;0.265;0.279;50;NA;0.526;0.073;0.004;0.07;NA;NA;0.074
Thraupis sayaca;Magnolia ovata;37;43;0.86;NA;3;2.581;Thraupidae;32.5;8.9;Magnoliaceae;10.39;12.8;0.522;NA;0.239;0.265;0.279;50;NA;0.526;0.073;0.004;0.07;NA;NA;0.074
Turdus rufiventris;Magnolia ovata;13;43;0.302;NA;4.92;1.488;Turdidae;69.5;13.3;Magnoliaceae;10.39;12.8;0.522;NA;0.239;0.265;0.279;50;NA;0.526;0.073;0.004;0.07;NA;NA;0.074
Aburria jacutinga;Matayba elaeagnoides;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Sapindaceae;11.5;14.5;NA;NA;0.5;NA;NA;3;NA;0.277;NA;NA;NA;NA;NA;NA
Tangara cayana;Matayba elaeagnoides;6;30;0.2;4;0.67;0.133;Thraupidae;18;7.4;Sapindaceae;11.5;14.5;NA;NA;0.5;NA;NA;3;NA;0.277;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Matayba elaeagnoides;28;30;0.933;64;2.29;2.137;Turdidae;69.5;13.3;Sapindaceae;11.5;14.5;NA;NA;0.5;NA;NA;3;NA;0.277;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Matayba guianensis;NA;NA;0.933;NA;4.5;4.2;Turdidae;69.5;13.3;Sapindaceae;10.9;11.13;0.234;NA;0.103;0.14;0.094;1;NA;NA;0.088;NA;NA;NA;NA;NA
Euphonia chlorotica;Melia azedarach;1;30;0.033;3;3;0.1;Fringillidae;11;6.1;Meliaceae;12;18;1.19;NA;NA;0.27;NA;NA;0.63;0.046;0.063;NA;NA;NA;NA;NA
Tangara cayana;Melia azedarach;26;30;0.867;51;1.96;1.7;Thraupidae;18;7.4;Meliaceae;12;18;1.19;NA;NA;0.27;NA;NA;0.63;0.046;0.063;NA;NA;NA;NA;NA
Thraupis sayaca;Melia azedarach;120;30;4;253;2.78;11.12;Thraupidae;32.5;8.9;Meliaceae;12;18;1.19;NA;NA;0.27;NA;NA;0.63;0.046;0.063;NA;NA;NA;NA;NA
Turdus rufiventris;Melia azedarach;3;30;0.1;8;2.67;0.267;Turdidae;69.5;13.3;Meliaceae;12;18;1.19;NA;NA;0.27;NA;NA;0.63;0.046;0.063;NA;NA;NA;NA;NA
Aburria jacutinga;Meliosma sinuata;2;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Sabiaceae;21;29;5.2;NA;1.1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia violacea;Miconia albicans;1;15;0.133;NA;1;0.133;Fringillidae;15;6.9;Melastomataceae;6.97;5.02;0.215;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cyanocephala;Miconia albicans;70;13;5.385;NA;8.33;44.872;Thraupidae;18;5.2;Melastomataceae;6.97;5.02;0.215;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Miconia albicans;1;13;0.077;NA;2.1;0.162;Thraupidae;39;8.3;Melastomataceae;6.97;5.02;0.215;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Miconia albicans;1;254;0.004;NA;2.1;0.008;Thraupidae;39;8.3;Melastomataceae;6.97;5.02;0.215;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia albicans;1;13;0.077;NA;2.1;0.162;Thraupidae;32.5;8.9;Melastomataceae;6.97;5.02;0.215;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia albicans;1;15;0.067;NA;1;0.067;Thraupidae;32.5;8.9;Melastomataceae;6.97;5.02;0.215;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia albicans;3;13;0.231;NA;10.03;2.314;Turdidae;54;11.1;Melastomataceae;6.97;5.02;0.215;NA;NA;NA;NA;31.1;NA;NA;NA;NA;NA;NA;NA;NA
Penelope obscura;Miconia chartacea;4;85.3;0.047;NA;NA;NA;Cracidae;1770;22.3;Melastomataceae;4;3.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Procnias nudicollis;Miconia chartacea;2;85.3;0.023;NA;NA;NA;Cotingidae;200;23.6;Melastomataceae;4;3.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia chartacea;4;85.3;0.047;NA;10.03;0.47;Turdidae;69.5;13.3;Melastomataceae;4;3.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ramphastos dicolorus;Miconia cinerascens;3;44;0.068;9;3;0.205;Ramphastidae;331;30.7;Melastomataceae;4.89;4.2;0.124;NA;0.004;NA;NA;4.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia cinerascens;2;NA;0.228;43;21.5;4.891;Turdidae;54;11.1;Melastomataceae;4.89;4.2;0.124;NA;0.004;NA;NA;4.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia cinerascens;11;44;0.25;23;2.09;0.523;Turdidae;54;11.1;Melastomataceae;4.89;4.2;0.124;NA;0.004;NA;NA;4.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia cinerascens;9;44;0.205;50;5.56;1.136;Turdidae;69.5;13.3;Melastomataceae;4.89;4.2;0.124;NA;0.004;NA;NA;4.6;NA;NA;NA;NA;NA;NA;NA;NA
Baillonius bailloni;Miconia cinnamomifolia;2;250;0.008;NA;NA;NA;Ramphastidae;146;23.6;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Baillonius bailloni;Miconia cinnamomifolia;2;177.8;0.011;NA;NA;NA;Ramphastidae;146;23.6;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia violacea;Miconia cinnamomifolia;4;85.3;0.047;NA;3.13;0.147;Fringillidae;15;6.9;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Penelope obscura;Miconia cinnamomifolia;2;250;0.008;NA;NA;NA;Cracidae;1770;22.3;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ramphastos dicolorus;Miconia cinnamomifolia;27;177.8;0.152;NA;3;0.456;Ramphastidae;331;30.7;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Selenidera maculirostris;Miconia cinnamomifolia;4;85.3;0.047;NA;NA;NA;Ramphastidae;164;25;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cyanocephala;Miconia cinnamomifolia;3;6.1;0.492;NA;8.33;4.098;Thraupidae;18;5.2;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tangara seledon;Miconia cinnamomifolia;7;85.3;0.082;NA;8.33;0.684;Thraupidae;18.7;6.1;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Miconia cinnamomifolia;6;85.3;0.07;NA;2.1;0.148;Thraupidae;39;8.3;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia cinnamomifolia;3;85.3;0.035;NA;2.1;0.074;Thraupidae;32.5;8.9;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia cinnamomifolia;6;250;0.024;NA;2.1;0.05;Thraupidae;32.5;8.9;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia cinnamomifolia;17;177.8;0.096;NA;10.03;0.959;Turdidae;54;11.1;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia cinnamomifolia;5;250;0.02;NA;10.03;0.201;Turdidae;54;11.1;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia cinnamomifolia;8;85.3;0.094;NA;10.03;0.941;Turdidae;69.5;13.3;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia cinnamomifolia;2;177.8;0.011;NA;10.03;0.113;Turdidae;69.5;13.3;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia cinnamomifolia;1;250;0.004;NA;10.03;0.04;Turdidae;69.5;13.3;Melastomataceae;3.16;4.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia cuspidata;7;32;0.219;26;4.3;0.941;Thraupidae;32.5;8.9;Melastomataceae;4.25;3.9;0.06;NA;NA;NA;NA;29.3;0.64;0.15;NA;NA;NA;NA;NA;NA
Tangara cayana;Miconia ligustroides;4;2.3;1.778;NA;10;17.778;Thraupidae;18;7.4;Melastomataceae;4.37;3.77;0.105;NA;0;NA;NA;19.5;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia ligustroides;1;2.2;0.455;NA;15;6.818;Thraupidae;32.5;8.9;Melastomataceae;4.37;3.77;0.105;NA;0;NA;NA;19.5;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Miconia minutiflora;6;254;0.024;NA;8.33;0.197;Thraupidae;18;7.4;Melastomataceae;3.27;3.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Miconia minutiflora;56;254;0.22;NA;2.1;0.463;Thraupidae;39;8.3;Melastomataceae;3.27;3.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia minutiflora;5;254;0.02;NA;2.1;0.041;Thraupidae;32.5;8.9;Melastomataceae;3.27;3.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia minutiflora;2;254;0.008;NA;10.03;0.079;Turdidae;69.5;13.3;Melastomataceae;3.27;3.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia pepericarpa;1;32;0.031;20;20;0.625;Turdidae;69.5;13.3;Melastomataceae;2.55;2.4;0.03;NA;NA;NA;NA;2;0.85;0.015;NA;NA;NA;NA;NA;NA
Euphonia violacea;Miconia prasina;4;15;1.6;NA;5.25;8.4;Fringillidae;15;6.9;Melastomataceae;5.44;4.71;0.12;NA;NA;NA;NA;50;NA;0.022;0.035;NA;NA;NA;NA;NA
Thraupis palmarum;Miconia prasina;1;15;0.133;NA;1;0.133;Thraupidae;39;8.3;Melastomataceae;5.44;4.71;0.12;NA;NA;NA;NA;50;NA;0.022;0.035;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia prasina;2;15;0.133;NA;1;0.133;Thraupidae;32.5;8.9;Melastomataceae;5.44;4.71;0.12;NA;NA;NA;NA;50;NA;0.022;0.035;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia pusilliflora;1;85.3;0.012;NA;10.03;0.118;Turdidae;69.5;13.3;Melastomataceae;4.24;4.19;0.063;NA;0.007;0.057;1.253;2.6;NA;0.111;0.141;0.089;0.07;NA;NA;0.159
Thraupis sayaca;Miconia sellowiana;2;14.2;0.141;NA;2.1;0.296;Thraupidae;32.5;8.9;Melastomataceae;3.2;3.36;0.055;NA;0.001;0.053;0.006;12.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia sellowiana;2;14.2;0.141;NA;10.03;1.413;Turdidae;54;11.1;Melastomataceae;3.2;3.36;0.055;NA;0.001;0.053;0.006;12.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia sellowiana;1;7.4;0.135;NA;10.03;1.355;Turdidae;54;11.1;Melastomataceae;3.2;3.36;0.055;NA;0.001;0.053;0.006;12.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia sellowiana;1;85.3;0.012;NA;10.03;0.118;Turdidae;54;11.1;Melastomataceae;3.2;3.36;0.055;NA;0.001;0.053;0.006;12.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia sellowiana;3;14.2;0.211;NA;10.03;2.119;Turdidae;69.5;13.3;Melastomataceae;3.2;3.36;0.055;NA;0.001;0.053;0.006;12.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia sellowiana;1;7.4;0.135;NA;10.03;1.355;Turdidae;69.5;13.3;Melastomataceae;3.2;3.36;0.055;NA;0.001;0.053;0.006;12.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia sellowiana;1;85.3;0.012;NA;10.03;0.118;Turdidae;69.5;13.3;Melastomataceae;3.2;3.36;0.055;NA;0.001;0.053;0.006;12.6;NA;NA;NA;NA;NA;NA;NA;NA
Turdus albicollis;Miconia tristis;5;85.3;0.059;NA;10.03;0.588;Turdidae;54;11.1;Melastomataceae;3.48;3.8;0.114;NA;NA;0.107;NA;6.5;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia tristis;4;85.3;0.047;NA;10.03;0.47;Turdidae;69.5;13.3;Melastomataceae;3.48;3.8;0.114;NA;NA;0.107;NA;6.5;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Miconia urophylla;12;13.3;0.902;NA;8.33;7.519;Thraupidae;18;7.4;Melastomataceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Miconia urophylla;22;13.3;1.654;NA;2.1;3.474;Thraupidae;32.5;8.9;Melastomataceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Miconia urophylla;3;13.3;0.226;NA;10.03;2.262;Turdidae;69.5;13.3;Melastomataceae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Myrceugenia myrcioides;1;12;0.083;1;1;0.083;Turdidae;69.5;13.3;Myrtaceae;10.5;16.5;2;NA;0.1;NA;NA;2;0.86;0.056;0.093;NA;NA;NA;0.801;NA
Tangara cyanocephala;Myrcia fallax;1;23;0.043;NA;NA;NA;Thraupidae;18;5.2;Myrtaceae;7.3;9.77;0.14;NA;0.062;NA;NA;1;NA;0.145;0.114;0.075;0.199;NA;NA;0.274
Thraupis palmarum;Myrcia fallax;8;23;0.348;NA;1;0.348;Thraupidae;39;8.3;Myrtaceae;7.3;9.77;0.14;NA;0.062;NA;NA;1;NA;0.145;0.114;0.075;0.199;NA;NA;0.274
Thraupis palmarum;Myrcia fallax;1;15;0.067;NA;1;0.067;Thraupidae;39;8.3;Myrtaceae;7.3;9.77;0.14;NA;0.062;NA;NA;1;NA;0.145;0.114;0.075;0.199;NA;NA;0.274
Thraupis sayaca;Myrcia fallax;3;23;0.13;NA;1;0.13;Thraupidae;32.5;8.9;Myrtaceae;7.3;9.77;0.14;NA;0.062;NA;NA;1;NA;0.145;0.114;0.075;0.199;NA;NA;0.274
Turdus albicollis;Myrcia fallax;3;23;0.13;NA;NA;NA;Turdidae;54;11.1;Myrtaceae;7.3;9.77;0.14;NA;0.062;NA;NA;1;NA;0.145;0.114;0.075;0.199;NA;NA;0.274
Turdus rufiventris;Myrcia fallax;6;23;0.261;NA;NA;NA;Turdidae;69.5;13.3;Myrtaceae;7.3;9.77;0.14;NA;0.062;NA;NA;1;NA;0.145;0.114;0.075;0.199;NA;NA;0.274
Penelope obscura;Myrcia pubipetala;1;NA;NA;NA;NA;NA;Cracidae;1770;22.3;Myrtaceae;13.15;15.71;2.043;NA;0.194;2.647;0.438;1.8;NA;0.084;0.061;0.228;0.067;NA;NA;0.295
Tangara cayana;Myrcia tomentosa;1;1.3;0.8;NA;NA ;NA;Thraupidae;18;7.4;Myrtaceae;4.2;4.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Myrcia tomentosa;6;1.2;5;NA;3.5;17.5;Thraupidae;32.5;8.9;Myrtaceae;4.2;4.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
