species;plant;plant_family;QTY;energy_fruit;QTY_SD;QTY_SE;TE;TE_common
Ramphastos dicolorus;Cecropia glaziovii;Urticaceae;0.022175;5.0789972;0.030865211;0.021825;0.112626763;0.180425631
Aburria jacutinga;Cecropia glaziovii;Urticaceae;0.017333333;5.0789972;0.02145538;0.01072769;0.088035951;0.180425631
Tityra cayana;Cecropia glaziovii;Urticaceae;0.003113333;5.0789972;0.003466776;0.002001544;0.015812611;0.180425631
Tangara seledon;Cecropia glaziovii;Urticaceae;0.003;5.0789972;NA;NA;0.015236992;0.180425631
Trogon viridis;Cecropia glaziovii;Urticaceae;0.002666667;5.0789972;0.001527525;0.000881917;0.013543993;0.180425631
Euphonia violacea;Cecropia glaziovii;Urticaceae;0.001175;5.0789972;0.001166726;0.000825;0.005967822;0.180425631
Trogon surrucura;Cecropia glaziovii;Urticaceae;0.001;5.0789972;NA;NA;0.005078997;0.180425631
Turdus rufiventris;Cecropia glaziovii;Urticaceae;0.001;5.0789972;NA;NA;0.005078997;0.180425631
Tangara cyanocephala;Cecropia glaziovii;Urticaceae;0.00094;5.0789972;NA;NA;0.004774257;0.180425631
Tityra cayana;Cabralea canjerana;Meliaceae;8.821;10.016055;NA;NA;88.35162116;15.37420079
Ramphastos vitellinus ;Cabralea canjerana;Meliaceae;3.125;10.016055;NA;NA;31.30017188;15.37420079
Ramphastos dicolorus;Cabralea canjerana;Meliaceae;1.994;10.016055;NA;NA;19.97201367;15.37420079
Turdus rufiventris;Cabralea canjerana;Meliaceae;0.529;10.016055;0.224859956;0.159;5.298493095;15.37420079
Baillonius bailloni;Cabralea canjerana;Meliaceae;0.525855674;10.016055;NA;NA;5.266999358;15.37420079
Turdus albicollis;Cabralea canjerana;Meliaceae;0.5225;10.016055;0.28779246;0.2035;5.233388738;15.37420079
Trogon surrucura;Cabralea canjerana;Meliaceae;0.1365;10.016055;0.072831998;0.0515;1.367191508;15.37420079
Turdus rufiventris;Alchornea triplinervia;Euphorbiaceae;0.849;1.400355594;NA;NA;1.188901899;0.773533114
Trogon surrucura;Alchornea triplinervia;Euphorbiaceae;0.69;1.400355594;NA;NA;0.96624536;0.773533114
Turdus albicollis;Alchornea triplinervia;Euphorbiaceae;0.075;1.512670489;NA;NA;0.113450287;0.773533114
Thraupis sayaca;Alchornea glandulosa;Euphorbiaceae;7.508666667;0.50070291;7.839168408;4.525945991;3.75961125;1.839999744
Turdus rufiventris;Alchornea glandulosa;Euphorbiaceae;4.9805;0.50070291;4.387597577;3.1025;2.493750843;1.839999744
Turdus albicollis;Alchornea glandulosa;Euphorbiaceae;3.104;0.50070291;1.561291773;1.104;1.554181833;1.839999744
Thraupis palmarum;Alchornea glandulosa;Euphorbiaceae;1.455;0.50070291;0.876812409;0.62;0.728522734;1.839999744
Tangara seledon;Alchornea glandulosa;Euphorbiaceae;0.98;0.50070291;NA;NA;0.490688852;1.839999744
Tangara cyanocephala;Alchornea glandulosa;Euphorbiaceae;0.833;0.50070291;NA;NA;0.417085524;1.839999744
Tangara cayana;Alchornea glandulosa;Euphorbiaceae;0.68;0.50070291;NA;NA;0.340477979;1.839999744
Tangara cayana;Acnistus arborescens;Solanaceae;1.056;0.254202624;NA;NA;0.268437971;0.211877887
Thraupis sayaca;Acnistus arborescens;Solanaceae;0.611;0.254202624;NA;NA;0.155317803;0.211877887
